Entity,Code,Year,Oil production - TWh
Africa,,1965,1235.101
Africa,,1966,1571.827
Africa,,1967,1729.1371
Africa,,1968,2216.126
Africa,,1969,2818.2942
Africa,,1970,3399.6292
Africa,,1971,3181.0298
Africa,,1972,3194.1733
Africa,,1973,3346.9216
Africa,,1974,3085.5674
Africa,,1975,2831.0928
Africa,,1976,3377.11
Africa,,1977,3541.0356
Africa,,1978,3456.5452
Africa,,1979,3800.2236
Africa,,1980,3492.4873
Africa,,1981,2773.1401
Africa,,1982,2666.0615
Africa,,1983,2702.3516
Africa,,1984,2885.7793
Africa,,1985,3000.331
Africa,,1986,2991.7114
Africa,,1987,2997.6375
Africa,,1988,3124.9636
Africa,,1989,3449.0317
Africa,,1990,3696.3718
Africa,,1991,3834.5972
Africa,,1992,3907.2976
Africa,,1993,3856.3596
Africa,,1994,3848.5925
Africa,,1995,3910.9531
Africa,,1996,4037.5745
Africa,,1997,4131.454
Africa,,1998,4145.346
Africa,,1999,4028.1492
Africa,,2000,4319.322
Africa,,2001,4275.9756
Africa,,2002,4304.742
Africa,,2003,4681.981
Africa,,2004,5210.7056
Africa,,2005,5401.9175
Africa,,2006,5527.921
Africa,,2007,5642.1987
Africa,,2008,5699.41
Africa,,2009,5482.711
Africa,,2010,5662.934
Africa,,2011,4720.584
Africa,,2012,5144.378
Africa,,2013,4766.631
Africa,,2014,4545.1406
Africa,,2015,4494.0737
Africa,,2016,4195.351
Africa,,2017,4483.19
Africa,,2018,4565.866
Africa,,2019,4620.1675
Africa,,2020,3851.172
Africa,,2021,4016.3862
Africa,,2022,3864.885
Africa (EI),,1965,1235.101
Africa (EI),,1966,1571.8269
Africa (EI),,1967,1729.137
Africa (EI),,1968,2216.126
Africa (EI),,1969,2818.2944
Africa (EI),,1970,3399.6292
Africa (EI),,1971,3181.0298
Africa (EI),,1972,3194.1733
Africa (EI),,1973,3346.9216
Africa (EI),,1974,3085.5674
Africa (EI),,1975,2831.0925
Africa (EI),,1976,3377.1104
Africa (EI),,1977,3541.0354
Africa (EI),,1978,3456.5452
Africa (EI),,1979,3800.2239
Africa (EI),,1980,3492.487
Africa (EI),,1981,2773.1401
Africa (EI),,1982,2666.0615
Africa (EI),,1983,2702.3516
Africa (EI),,1984,2885.7793
Africa (EI),,1985,3000.331
Africa (EI),,1986,2991.7114
Africa (EI),,1987,2997.6375
Africa (EI),,1988,3124.9639
Africa (EI),,1989,3449.0317
Africa (EI),,1990,3696.372
Africa (EI),,1991,3834.5972
Africa (EI),,1992,3907.2974
Africa (EI),,1993,3856.3594
Africa (EI),,1994,3848.5923
Africa (EI),,1995,3910.9531
Africa (EI),,1996,4037.5745
Africa (EI),,1997,4131.454
Africa (EI),,1998,4145.346
Africa (EI),,1999,4028.149
Africa (EI),,2000,4319.322
Africa (EI),,2001,4275.9756
Africa (EI),,2002,4304.742
Africa (EI),,2003,4681.981
Africa (EI),,2004,5210.7056
Africa (EI),,2005,5401.9175
Africa (EI),,2006,5527.9204
Africa (EI),,2007,5642.199
Africa (EI),,2008,5699.4097
Africa (EI),,2009,5482.711
Africa (EI),,2010,5662.934
Africa (EI),,2011,4720.584
Africa (EI),,2012,5144.3784
Africa (EI),,2013,4766.631
Africa (EI),,2014,4545.1406
Africa (EI),,2015,4494.0737
Africa (EI),,2016,4195.3506
Africa (EI),,2017,4483.19
Africa (EI),,2018,4565.866
Africa (EI),,2019,4620.1675
Africa (EI),,2020,3851.1724
Africa (EI),,2021,4016.3862
Africa (EI),,2022,3864.885
Algeria,DZA,1965,304.0002
Algeria,DZA,1966,391.262
Algeria,DZA,1967,449.44415
Algeria,DZA,1968,493.38818
Algeria,DZA,1969,516.78827
Algeria,DZA,1970,561.8859
Algeria,DZA,1971,427.9568
Algeria,DZA,1972,578.319
Algeria,DZA,1973,601.25507
Algeria,DZA,1974,556.3107
Algeria,DZA,1975,544.32935
Algeria,DZA,1976,607.42487
Algeria,DZA,1977,648.445
Algeria,DZA,1978,662.15814
Algeria,DZA,1979,675.54517
Algeria,DZA,1980,599.4387
Algeria,DZA,1981,534.1274
Algeria,DZA,1982,531.3829
Algeria,DZA,1983,522.8083
Algeria,DZA,1984,567.38074
Algeria,DZA,1985,547.31964
Algeria,DZA,1986,563.81366
Algeria,DZA,1987,583.7999
Algeria,DZA,1988,611.4504
Algeria,DZA,1989,633.65845
Algeria,DZA,1990,678.6744
Algeria,DZA,1991,682.6081
Algeria,DZA,1992,657.11145
Algeria,DZA,1993,655.03894
Algeria,DZA,1994,652.1087
Algeria,DZA,1995,649.0849
Algeria,DZA,1996,686.3133
Algeria,DZA,1997,716.0245
Algeria,DZA,1998,713.91675
Algeria,DZA,1999,680.686
Algeria,DZA,2000,776.73285
Algeria,DZA,2001,764.68414
Algeria,DZA,2002,824.4972
Algeria,DZA,2003,918.8281
Algeria,DZA,2004,971.6982
Algeria,DZA,2005,1005.2701
Algeria,DZA,2006,1002.5293
Algeria,DZA,2007,1005.7857
Algeria,DZA,2008,985.77057
Algeria,DZA,2009,898.23145
Algeria,DZA,2010,858.0033
Algeria,DZA,2011,833.5803
Algeria,DZA,2012,781.67554
Algeria,DZA,2013,753.43787
Algeria,DZA,2014,799.80676
Algeria,DZA,2015,781.8267
Algeria,DZA,2016,795.6897
Algeria,DZA,2017,775.1163
Algeria,DZA,2018,759.81116
Algeria,DZA,2019,748.15796
Algeria,DZA,2020,670.1788
Algeria,DZA,2021,676.866
Algeria,DZA,2022,740.2434
Angola,AGO,1965,7.6176496
Angola,AGO,1966,7.33853
Angola,AGO,1967,6.24531
Angola,AGO,1968,8.7225
Angola,AGO,1969,28.58654
Angola,AGO,1970,58.905952
Angola,AGO,1971,66.53523
Angola,AGO,1972,82.072914
Angola,AGO,1973,95.07526
Angola,AGO,1974,99.33183
Angola,AGO,1975,90.60933
Angola,AGO,1976,87.96932
Angola,AGO,1977,82.13106
Angola,AGO,1978,75.23447
Angola,AGO,1979,83.736
Angola,AGO,1980,86.38764
Angola,AGO,1981,83.24754
Angola,AGO,1982,74.5483
Angola,AGO,1983,102.2277
Angola,AGO,1984,117.16062
Angola,AGO,1985,133.18675
Angola,AGO,1986,161.95938
Angola,AGO,1987,203.59479
Angola,AGO,1988,259.5816
Angola,AGO,1989,263.32648
Angola,AGO,1990,271.9094
Angola,AGO,1991,285.0978
Angola,AGO,1992,315.7894
Angola,AGO,1993,288.54028
Angola,AGO,1994,318.94113
Angola,AGO,1995,362.542
Angola,AGO,1996,411.2833
Angola,AGO,1997,424.495
Angola,AGO,1998,418.68
Angola,AGO,1999,426.821
Angola,AGO,2000,428.5655
Angola,AGO,2001,425.0765
Angola,AGO,2002,518.698
Angola,AGO,2003,498.14465
Angola,AGO,2004,634.8
Angola,AGO,2005,726.1117
Angola,AGO,2006,798.73517
Angola,AGO,2007,944.1738
Angola,AGO,2008,1073.3398
Angola,AGO,2009,1000.60815
Angola,AGO,2010,1034.2383
Angola,AGO,2011,954.0293
Angola,AGO,2012,991.99084
Angola,AGO,2013,990.9448
Angola,AGO,2014,968.5163
Angola,AGO,2015,1025.3318
Angola,AGO,2016,997.48224
Angola,AGO,2017,949.0655
Angola,AGO,2018,861.6136
Angola,AGO,2019,803.5187
Angola,AGO,2020,750.9674
Angola,AGO,2021,664.31494
Angola,AGO,2022,671.88135
Argentina,ARG,1965,160.08415
Argentina,ARG,1966,170.30933
Argentina,ARG,1967,185.64127
Argentina,ARG,1968,203.38065
Argentina,ARG,1969,210.5816
Argentina,ARG,1970,232.60602
Argentina,ARG,1971,250.86913
Argentina,ARG,1972,258.39575
Argentina,ARG,1973,251.22163
Argentina,ARG,1974,245.91354
Argentina,ARG,1975,235.63022
Argentina,ARG,1976,237.41644
Argentina,ARG,1977,256.58066
Argentina,ARG,1978,269.9307
Argentina,ARG,1979,282.35434
Argentina,ARG,1980,293.85562
Argentina,ARG,1981,299.3141
Argentina,ARG,1982,297.39435
Argentina,ARG,1983,298.51083
Argentina,ARG,1984,292.39865
Argentina,ARG,1985,280.96475
Argentina,ARG,1986,265.96246
Argentina,ARG,1987,262.51917
Argentina,ARG,1988,275.8608
Argentina,ARG,1989,281.7945
Argentina,ARG,1990,295.82712
Argentina,ARG,1991,301.00766
Argentina,ARG,1992,337.74042
Argentina,ARG,1993,361.31885
Argentina,ARG,1994,401.36295
Argentina,ARG,1995,435.6241
Argentina,ARG,1996,474.6901
Argentina,ARG,1997,504.57437
Argentina,ARG,1998,512.04645
Argentina,ARG,1999,484.84152
Argentina,ARG,2000,480.87112
Argentina,ARG,2001,510.89627
Argentina,ARG,2002,503.27728
Argentina,ARG,2003,501.18347
Argentina,ARG,2004,477.1305
Argentina,ARG,2005,457.86237
Argentina,ARG,2006,458.60773
Argentina,ARG,2007,444.4343
Argentina,ARG,2008,439.66977
Argentina,ARG,2009,395.9278
Argentina,ARG,2010,387.02927
Argentina,ARG,2011,362.6855
Argentina,ARG,2012,358.6779
Argentina,ARG,2013,351.06256
Argentina,ARG,2014,346.41473
Argentina,ARG,2015,349.43137
Argentina,ARG,2016,332.97617
Argentina,ARG,2017,316.80292
Argentina,ARG,2018,320.31754
Argentina,ARG,2019,335.34912
Argentina,ARG,2020,321.65402
Argentina,ARG,2021,338.25745
Argentina,ARG,2022,381.5427
Asia,,1965,5387.5947
Asia,,1966,6009.9614
Asia,,1967,6417.0938
Asia,,1968,7239.6665
Asia,,1969,8000.296
Asia,,1970,9110.328
Asia,,1971,10643.599
Asia,,1972,11943.729
Asia,,1973,14014.749
Asia,,1974,14524.374
Asia,,1975,13329.333
Asia,,1976,15197.328
Asia,,1977,15469.906
Asia,,1978,14973.696
Asia,,1979,15331.503
Asia,,1980,13456.259
Asia,,1981,11841.785
Asia,,1982,10184.702
Asia,,1983,9447.745
Asia,,1984,9336.17
Asia,,1985,9541.106
Asia,,1986,11060.38
Asia,,1987,11054.437
Asia,,1988,12359.029
Asia,,1989,13087.647
Asia,,1990,13749.835
Asia,,1991,13714.863
Asia,,1992,14737.893
Asia,,1993,15144.801
Asia,,1994,15453.292
Asia,,1995,15635.969
Asia,,1996,16008.615
Asia,,1997,16434.533
Asia,,1998,17334.137
Asia,,1999,16916.264
Asia,,2000,17903.488
Asia,,2001,17702.648
Asia,,2002,16786.791
Asia,,2003,17903.973
Asia,,2004,19027.342
Asia,,2005,19546.465
Asia,,2006,19877.346
Asia,,2007,19808.943
Asia,,2008,20578.13
Asia,,2009,19624.822
Asia,,2010,20187.592
Asia,,2011,21359.91
Asia,,2012,21648.771
Asia,,2013,21417.742
Asia,,2014,21531.719
Asia,,2015,22430.957
Asia,,2016,23262.52
Asia,,2017,22885.219
Asia,,2018,22995.633
Asia,,2019,22053.896
Asia,,2020,20545.5
Asia,,2021,20746.256
Asia,,2022,22139.94
Asia Pacific (EI),,1965,522.24554
Asia Pacific (EI),,1966,581.64026
Asia Pacific (EI),,1967,616.6964
Asia Pacific (EI),,1968,721.63995
Asia Pacific (EI),,1969,830.6773
Asia Pacific (EI),,1970,1148.6549
Asia Pacific (EI),,1971,1379.3431
Asia Pacific (EI),,1972,1624.5076
